амбиция	1
наложение	1
лишение	1
блин	1
понедельник	1
хрен	1
углеводород	1
формат	1
ранец	1
частица	1
эшелон	1
тачка	1
расчет	1
монстр	1
наволочка	1
связка	1
правда	1
заблуждение	1
удобство	1
юбилей	1
роспись	1
тупик	1
собрат	1
фаворит	1
размышление	1
прецедент	1
издательство	1
дух	1
увольнение	1
чек	1
ссылка	1
маньяк	1
полоса	1
век	1
план	1
кабан	1
поставщик	1
крушение	0
ядро	0
стипендия	0
список	0
формула	0
половинка	0
установление	0
риторика	0
полость	0
пафос	0
железо	0
путь	0
локоть	0
вызов	0
головка	0
поколение	0
прорыв	0
авторитет	0
апостол	0
жесть	0
проникновение	0
ясли	0
хор	0
дядька	0
брат	0
крыша	0
кулиса	0
университет	0
центр	0
бригада	0
живот	0
советчик	0
итальянец	0
линейка	0
любовник	0
уклад	0
памятник	0
название	0
облако	0
цифра	0
сверстник	0
любовь	0
блондин	0
обоснование	0
благодарность	0
штаб	0
предательство	0
стена	0
грех	0
веер	0
союзник	0
совершенство	0
огонь	0
цензура	0
стол	0
поэзия	0
дядя	0
карман	0
писк	0
лечение	0
хозяйка	0
полукруг	0
